"userId","rating","projectId"
1,4,37
1,5,10
1,5,48
1,3,8
1,5,1
1,5,14
1,4,47
1,5,6
1,4,17
1,5,24
2,3,12
2,4,37
2,5,34
2,4.5,2
2,5,43
2,3.5,8
2,4,16
2,4,24
2,2,41
2,4,28
3,0.5,47
3,5,17
3,5,11
3,0.5,19
3,0.5,51
3,0.5,33
3,0.5,3
3,0.5,36
3,5,16
3,0.5,40
4,4,48
4,3,39
4,5,50
4,1,1
4,1,3
4,5,10
4,4,30
4,4,33
4,3,14
4,1,40
5,3,27
5,3,21
5,3,31
5,4,44
5,4,45
5,4,15
5,3,7
5,4,26
5,4,5
5,3,37
6,3,44
6,3,48
6,3,8
6,4,50
6,3,31
6,4,27
6,3,43
6,4,33
6,4,26
6,3,51
7,3.5,17
7,5,37
7,2,2
7,5,35
7,2,41
7,4,52
7,3.5,42
7,4.5,5
7,4.5,6
7,4.5,44
8,4,8
8,3,47
8,1,52
8,4,5
8,3,2
8,3,22
8,4,15
8,4,16
8,4,24
8,4,44
9,4,12
9,5,33
9,1,44
9,2,22
9,5,40
9,4,20
9,4,19
9,4,31
9,1,6
9,3,34
10,2.5,18
10,3,52
10,5,30
10,5,24
10,3,16
10,4,47
10,4,17
10,4,12
10,2,8
10,4,45
11,4,49
11,3,30
11,3,22
11,4,29
11,2,8
11,4,38
11,3,51
11,5,26
11,4,50
11,5,45
12,5,30
12,4,5
12,5,50
12,3,13
12,5,27
12,3,31
12,5,21
12,4.5,18
12,4,2
12,4,4
13,5,14
13,4,17
13,4,41
13,3,36
13,4,46
13,4,5
13,3,50
13,5,44
13,5,24
13,4,9
14,5,51
14,3,13
14,2,32
14,4,18
14,3,5
14,3,43
14,3,29
14,4,40
14,4,48
14,1,31
15,5,16
15,5,33
15,1.5,41
15,3.5,42
15,2.5,43
15,5,21
15,3.5,11
15,3,32
15,3.5,25
15,5,38
16,3.5,29
16,4,18
16,4,35
16,3.5,39
16,4,43
16,4,1
16,4.5,3
16,3.5,21
16,1.5,23
16,4,17
17,4.5,1
17,4,22
17,4.5,50
17,4.5,23
17,3.5,5
17,4.5,36
17,4.5,6
17,4.5,40
17,4,29
17,4.5,21
18,4,6
18,4,34
18,3.5,25
18,3.5,47
18,4,21
18,3.5,43
18,4.5,22
18,4,16
18,4,42
18,3,52
19,2,26
19,3,23
19,2,39
19,2,3
19,1,43
19,2,15
19,2,18
19,2,8
19,1,27
19,2,40
20,4,42
20,4,38
20,4,26
20,2,50
20,3.5,19
20,3.5,4
20,3.5,45
20,2,36
20,5,10
20,0.5,48
